Country name,Code,Continent,Happiness Index,Log GDP,Social support,Healthy life exp,Freedom,Generosity,Pct corruption,Suicide,Depression & Anxiety,Substance Abuse,Physician perpop,Average Age,Sleep (min),Gini index,Pct Poverty,Pct spent ed,Literacy rate,Tourist arrivals,Rev tourism,Security index,Unemployment rate,Blue Index
Afghanistan,AFG,Asia,0.0,0.13882863340563986,0.09615384615384613,0.17708333333333315,0.0,0.23376623376623376,1.0,0.07153546842262795,0.3914711766477935,0.1968103856341461,,0.1065830721003135,,,,0.4991404011461319,,,0.0,1.0,0.4021820917983446,0.21993901023485585
Albania,ALB,Europe,0.3859649122807017,0.5531453362255968,0.38461538461538464,0.7187500000000002,0.5714285714285714,0.33766233766233766,0.9113924050632912,0.08979347500748279,0.2580333073280757,0.17437129246356667,,0.54858934169279,,,,0.31174785100286534,,0.053396659250463996,0.00808657485448936,0.41111111111111115,0.4988713318284424,0.1740660249330417
Argentina,ARG,Americas,0.6588693957115009,0.6550976138828634,0.9038461538461539,0.7256944444444442,0.7142857142857142,0.14285714285714285,0.8607594936708861,0.2541155342711763,0.35192837997543663,0.3993665085455882,0.6486042692939246,0.5109717868338557,0.5061728395061729,0.5448028673835127,0.3446745562130178,0.3616045845272206,,0.07723610038387495,0.02313460131675201,0.36666666666666664,0.2957110609480812,0.3351368075974004
Armenia,ARM,Asia,0.31773879142300193,0.48806941431670287,0.4999999999999999,0.6562499999999998,0.3214285714285714,0.20779220779220775,0.8860759493670887,0.21281053576773423,0.5178605912205221,0.22144000966855001,0.715927750410509,0.6175548589341694,,0.2939068100358424,0.3446745562130178,0.19770773638968483,0.9990289376577974,0.017107219846219466,0.004468687382716835,0.5,0.6474793077501881,0.3173703788856021
Australia,AUS,Oceania,0.8966861598440545,0.8416485900216922,0.9807692307692307,0.8888888888888887,0.8571428571428571,0.7792207792207791,0.31645569620253167,0.2963184675246932,0.2795301287646473,0.0799669657874329,0.5977011494252874,0.7304075235109719,0.9382716049382716,,,,,0.10149054145964702,0.1747678190897236,0.12222222222222223,0.19187358916478553,0.21860518735892445
Austria,AUT,Europe,0.9025341130604289,0.8459869848156184,0.9038461538461539,0.8680555555555557,0.8214285714285714,0.5584415584415584,0.4556962025316456,0.39838371744986534,0.36027259174577675,1.0,0.8423645320197044,0.8965517241379312,0.7901234567901234,,,,,0.3394814806275721,0.08908749721700963,0.0,0.18848758465011284,0.5862187697318807
Azerbaijan,AZE,Asia,0.48538011695906436,0.6182212581344902,0.6730769230769231,0.607638888888889,0.5357142857142857,0.06493506493506492,0.6202531645569621,0.040706375336725525,0.30756173673924964,0.3895821373538387,,0.4984326018808778,,,,0.0,1.0,0.02816235719967261,0.01271429025794345,0.5777777777777778,0.1696764484574868,0.24595008314327127
Bahrain,BHR,Asia,0.695906432748538,0.8351409978308026,0.8461538461538461,0.7222222222222222,0.8571428571428571,0.5454545454545454,,0.06285543250523795,0.6017333405427115,0.36549133355490426,,0.5297805642633229,,,,0.013180515759312296,0.9535832200427268,0.13099012069581656,0.0173499570624344,0.6555555555555556,0.007900677200902933,0.34336003553428457
Bangladesh,BGD,Asia,0.3216374269005847,0.2971800433839478,0.5192307692307692,0.5590277777777777,0.8392857142857143,0.40259740259740256,0.6075949367088608,0.09248727925770728,0.26578081429928707,0.009175051112386836,0.08210180623973727,0.35423197492163006,,,,0.6555873925501434,0.47756845989512525,0.01170069281934822,0.0013199325721192075,0.7333333333333333,0.14597441685477802,0.12248104822312705
Belarus,BLR,Europe,0.5633528265107212,0.6334056399132322,0.8846153846153846,0.6284722222222221,0.33928571428571425,0.20779220779220775,0.6202531645569621,0.6575875486381322,0.2403986528761557,0.16270356829924162,,0.7711598746081505,,0.0,0.05177514792899409,0.30544412607449856,,0.12737039897633348,0.0044050761744219335,0.5666666666666667,0.19413092550790068,0.3535632566045099
Belgium,BEL,Europe,0.8323586744639375,0.8308026030368765,0.9230769230769231,0.8368055555555555,0.7678571428571428,0.45454545454545453,0.48101265822784817,0.47800059862316663,0.35900580097481094,0.4376831737015439,0.4975369458128079,0.8150470219435737,0.9012345679012346,,,,,0.09653359770366698,0.03824623898730956,0.15555555555555556,0.24830699774266363,0.4248965244331738
Benin,BEN,Africa,0.42690058479532156,0.17353579175704986,0.0,0.21527777777777765,0.5357142857142857,0.3246753246753246,0.7721518987341772,0.09368452559114038,0.6426433443276355,0.1140939259348783,,0.08777429467084637,,,,0.740974212034384,,0.0031124995677083932,0.0005725008746541141,0.5777777777777778,0.07411587659894657,0.28347393195121806
Bolivia,BOL,Americas,0.5828460038986355,0.4316702819956617,0.6538461538461539,0.5416666666666665,0.8035714285714285,0.23376623376623376,0.8354430379746836,0.08769829392397485,0.5391256826380145,0.13262531347252016,,0.27899686520376177,,0.6666666666666667,0.5029585798816568,,,0.012657498242014132,0.0035622276645144875,0.6111111111111112,0.11963882618510156,0.2531497633448365
Bosnia and Herzegovina,BIH,Europe,0.47368421052631576,0.561822125813449,0.6538461538461539,0.6875,0.23214285714285723,0.4935064935064935,0.9620253164556963,0.18886560909907213,0.2994704969064042,0.28290580213715244,,0.8369905956112854,,,,,,0.010513331873148351,0.003852453802359976,0.5222222222222223,0.7539503386004515,0.2570806360475429
Botswana,BWA,Africa,0.1637426900584795,0.6203904555314533,0.6346153846153846,0.36458333333333337,0.6964285714285713,0.051948051948051924,0.7215189873417721,0.17689314576474108,0.5914445276955994,0.3933488432989898,,0.2852664576802508,,,,,,0.01858277519683678,0.002091218472694889,0.3444444444444444,0.6399548532731377,0.3872288389197767
Brazil,BRA,Americas,0.7153996101364523,0.5921908893709329,0.8846153846153846,0.6423611111111112,0.5892857142857143,0.14285714285714285,0.7974683544303798,0.1143370248428614,0.21856775399541176,0.18507719732906303,0.3497536945812808,0.5203761755485894,0.48148148148148145,1.0,,,0.8696834336764419,0.07582971169031782,0.02448633949301867,0.6333333333333333,0.463882618510158,0.1726606587224454
Bulgaria,BGR,Europe,0.47563352826510713,0.6507592190889372,0.9615384615384615,0.6562499999999998,0.46428571428571414,0.1818181818181818,0.949367088607595,0.33672553127806043,0.7073945049088143,0.4300591191548076,,0.8557993730407525,0.7037037037037037,,0.2899408284023669,,,0.10227443023966247,0.018534715816926943,0.36666666666666664,0.21331828442437922,0.49139305178056075
Burkina Faso,BFA,Africa,0.3879142300194932,0.13232104121475063,0.6538461538461539,0.19791666666666655,0.3214285714285714,0.3116883116883117,0.7215189873417721,0.12810535767734207,0.32479086365778115,0.9830246447311438,0.006568144499178983,0.05956112852664578,,,,0.8303724928366764,,0.0015216664553241034,0.0006202092808752902,0.8222222222222223,0.2155756207674943,0.4786402886887557
Cambodia,KHM,Asia,0.3762183235867446,0.2971800433839478,0.6346153846153846,0.46875000000000006,0.9464285714285714,0.4935064935064935,0.8354430379746836,0.037114636336426206,0.35646835726589476,0.5542798440946308,,0.3103448275862069,,,,,,0.06445179660391714,0.01593460767787284,0.6333333333333333,0.007148231753197895,0.3159542792323173
Cameroon,CMR,Africa,0.469785575048733,0.2776572668112797,0.48076923076923067,0.1458333333333332,0.6071428571428571,0.33766233766233766,0.8607594936708861,0.14845854534570488,0.3472802620094083,0.10048745606349015,,0.09717868338557993,,,,0.5134670487106018,,0.012334720509066597,0.0020951941732133203,0.7666666666666667,0.10985703536493603,0.19874208780620115
Canada,CAN,Americas,0.9259259259259259,0.8373101952277657,0.9423076923076924,0.8923611111111113,0.9285714285714285,0.5844155844155844,0.25316455696202533,0.29841364860820113,0.30768725716625084,0.5276510459155412,0.4220032840722496,0.84012539184953,0.8148148148148148,,,,,0.2406077443600355,0.0810406793677046,0.13333333333333336,0.22009029345372458,0.3779173172299977
Chad,TCD,Africa,0.3703703703703703,0.13882863340563986,0.42307692307692313,0.0,0.3214285714285714,0.3766233766233766,0.7974683544303798,0.07003891050583658,0.41315145101613626,0.3017342961597728,0.0,0.07523510971786836,,,,0.5392550143266476,,0.0008761109894290292,,0.9333333333333333,0.051166290443942816,0.2616415525605819
Chile,CHL,Americas,0.7134502923976609,0.6898047722342734,0.8461538461538461,0.7673611111111109,0.6428571428571429,0.3506493506493506,0.8607594936708861,0.2586052080215504,0.20577046369176819,0.13343102597415676,0.39408866995073893,0.5956112852664577,0.49382716049382713,0.7598566308243729,0.09171597633136094,0.8223495702005732,0.9341619731986793,0.07422735080175684,0.01731815145828695,0.24444444444444446,0.24341610233258087,0.19926889922915847
China,CHN,Asia,0.47563352826510713,0.6073752711496748,0.6346153846153846,0.7395833333333333,0.8035714285714285,0.12987012987012983,,0.18677042801556418,0.2878164080302176,0.09709842785348118,0.3185550082101806,0.6896551724137931,0.5802469135802469,,0.010355029585798821,,,0.7000703194346779,0.15323542508189944,0.5444444444444445,0.14860797592174568,0.19056175463308767
Colombia,COL,Americas,0.682261208576998,0.577006507592191,0.9038461538461539,0.6840277777777779,0.732142857142857,0.1688311688311688,0.9113924050632912,0.08680035917390001,0.40244938630166605,0.21853944466265823,0.3399014778325123,0.45768025078369906,0.38271604938271603,0.8709677419354841,0.3624260355029586,0.5266475644699141,,0.041730549759645866,0.023321459241118284,0.6555555555555556,0.31527464258841226,0.23592973004607476
Congo (Brazzaville),COG,Africa,0.4327485380116959,0.370932754880694,0.42307692307692313,0.33333333333333315,0.625,0.15584415584415579,0.759493670886076,,,,,,,,,0.5002865329512894,,0.0015908331123842899,,0.6888888888888889,0.34875846501128666,
Costa Rica,CRI,Americas,0.8908382066276804,0.6095444685466379,0.9230769230769231,0.8124999999999998,0.9107142857142857,0.2857142857142857,0.7341772151898734,,,,0.47783251231527096,0.4984326018808778,0.5679012345679012,,,,,,,,,
Croatia,HRV,Europe,0.5224171539961013,0.6963123644251625,0.6346153846153846,0.7604166666666664,0.5178571428571428,0.24675324675324672,0.9240506329113924,0.16881173301406766,0.35839944075822067,0.14050115317601794,,0.865203761755486,0.7407407407407407,,0.2514792899408284,,,0.1796258083853044,0.04417798416080913,0.2777777777777778,0.4033107599699022,0.22257077564943542
Cyprus,CYP,Asia,0.6627680311890838,0.7765726681127983,0.7307692307692306,0.8958333333333334,0.6785714285714286,0.4285714285714285,0.8734177215189873,0.4097575576174798,0.3783320845660083,0.16951687464120613,,0.670846394984326,,,,,,0.04197263305935652,0.01295283228904933,0.3777777777777778,0.3972911963882618,0.31920217227489806
Czech Republic,CZE,Europe,0.8050682261208577,0.7722342733188722,0.8846153846153846,0.7673611111111109,0.7142857142857142,0.15584415584415579,0.8987341772151899,0.34301107452858426,0.2103664424035038,0.3703507870804,0.6617405582922825,,,,,,,0.1169954004173055,0.030529404281034317,0.17777777777777778,0.09029345372460497,0.3079094346708293
Denmark,DNK,Europe,0.9610136452241715,0.8524945770065077,0.9807692307692307,0.847222222222222,0.9464285714285714,0.5844155844155844,0.02531645569620252,0.2771625261897635,0.32315523593978107,0.07628083109244545,,0.84012539184953,,,,,,0.1431173412337026,0.033761648802519,0.07777777777777778,0.19751693002257334,0.22553286440733
Dominican Republic,DOM,Americas,0.5750487329434698,0.6030368763557483,0.8653846153846154,0.6180555555555555,0.7678571428571428,0.22077922077922074,0.759493670886076,0.17958695001496555,0.15502352059693653,0.2702208659395111,0.24958949096880131,0.3981191222570533,,,0.34319526627218944,,,0.07120707344346203,0.0284978213161159,0.5333333333333333,0.20090293453724603,0.20161044551713772
Ecuador,ECU,Americas,0.6198830409356725,0.5249457700650759,0.7884615384615384,0.7118055555555556,0.8035714285714285,0.15584415584415579,0.7215189873417721,0.19455252918287935,0.52900101188775,0.29013203613620564,,0.3855799373040752,,0.6917562724014339,0.2825443786982249,,0.86482812196543,0.020692358237172467,0.006114627397347413,0.6444444444444444,0.12603461249059442,0.33789519240227833
Egypt,EGY,Africa,0.24756335282651074,0.5314533622559652,0.38461538461538464,0.47569444444444436,0.28571428571428564,0.1688311688311688,,0.06195749775516311,0.5044955623701347,0.16168635626592542,0.12479474548440066,0.26645768025078365,0.2716049382716049,,0.44526627218934917,,0.44416391532336374,0.0939052647353799,0.03427053846887822,0.7888888888888889,0.42325056433408575,0.24271313879707443
